drugA	drugB	sAB	overlapAB	mean_spAB	median_spAB	min_spAB	max_spAB	zTDA	zTDB	zDTA	zDTB	sAD	sBD	overlapAD	overlapBD	mean_spAD	mean_spBD	median_spAD	median_spBD	min_spAD	min_spBD	max_spAD	max_spBD
DB00001	DB01626	0.5883	0	0.645	0.645	0.64	0.65	-1.0344	1.652	-1.1146	1.0082	0.3795	0.4711	0.0	0.0	0.4886	0.6617	0.48	0.65	0.14	0.36	1.23	1.42
DB00006	DB01626	0.5883	0	0.645	0.645	0.64	0.65	-1.0344	1.652	-1.1146	1.0082	0.3795	0.4711	0.0	0.0	0.4886	0.6617	0.48	0.65	0.14	0.36	1.23	1.42
DB00278	DB01626	0.5883	0	0.645	0.645	0.64	0.65	-1.0344	1.652	-1.1146	1.0082	0.3795	0.4711	0.0	0.0	0.4886	0.6617	0.48	0.65	0.14	0.36	1.23	1.42
DB04898	DB00590	0.3652	0	0.5057	0.47	0.45	0.62	-1.0344	-0.1188	-1.1146	-1.993	0.3795	0.2221	0.0	1.0	0.4886	0.5591	0.48	0.55	0.14	0.0	1.23	1.46
DB04898	DB01626	0.5883	0	0.645	0.645	0.64	0.65	-1.0344	1.652	-1.1146	1.0082	0.3795	0.4711	0.0	0.0	0.4886	0.6617	0.48	0.65	0.14	0.36	1.23	1.42
DB06695	DB01275	0.2367	0	0.55	0.55	0.54	0.56	-1.0344	1.151	-1.1146	-1.5701	0.3795	0.1151	0.0	1.0	0.4886	0.5698	0.48	0.56	0.14	0.0	1.23	1.39
DB06695	DB00820	0.62	0	0.62	0.62	0.62	0.62	-1.0344	0.8122	-1.1146	0.464	0.3795	0.5763	0.0	0.0	0.4886	0.6853	0.48	0.69	0.14	0.37	1.23	1.39
DB06695	DB00968	0.1067	0	0.43	0.43	0.39	0.47	-1.0344	0.1698	-1.1146	-1.9512	0.3795	0.117	0.0	1.0	0.4886	0.5622	0.48	0.55	0.14	0.0	1.23	1.33
DB06695	DB01018	0.1983	0	0.465	0.465	0.46	0.47	-1.0344	-0.3673	-1.1146	-2.8882	0.3795	0.1	0.0	1.0	0.4886	0.5195	0.48	0.51	0.14	0.0	1.23	1.28
DB06695	DB00657	1.12	0	1.12	1.12	1.12	1.12	-1.0344	3.8434	-1.1146	3.3878	0.3795	1.0142	0.0	0.0	0.4886	1.123	0.48	1.11	0.14	0.85	1.23	1.69
DB06695	DB01626	0.5883	0	0.645	0.645	0.64	0.65	-1.0344	1.652	-1.1146	1.0082	0.3795	0.4711	0.0	0.0	0.4886	0.6617	0.48	0.65	0.14	0.36	1.23	1.42
DB06695	DB00325	0.42	0	0.42	0.42	0.42	0.42	-1.0344	-2.2973	-1.1146	-1.2926	0.3795	0.3421	0.0	0.0	0.4886	0.4508	0.48	0.45	0.14	0.19	1.23	1.2
DB06695	DB08932	0.2533	0	0.445	0.445	0.38	0.51	-1.0344	-0.3467	-1.1146	-3.9634	0.3795	0.1953	0.0	2.0	0.4886	0.5077	0.48	0.51	0.14	0.0	1.23	1.29
DB00393	DB01116	0.634	0	0.7717	0.775	0.58	0.95	-2.3273	0.8073	-3.6134	0.7369	0.109	0.6504	3.0	0.0	0.5451	0.7593	0.54	0.74	0.0	0.47	1.49	1.49
DB00393	DB00765	0.3255	0	0.4642	0.475	0.26	0.6	-2.3273	-1.657	-3.6134	-3.135	0.109	0.3535	3.0	1.0	0.5451	0.4631	0.54	0.46	0.0	0.0	1.49	1.26
DB00393	DB00657	1.0232	0	1.1592	1.17	0.99	1.29	-2.3273	3.8434	-3.6134	3.3878	0.109	1.0142	3.0	0.0	0.5451	1.123	0.54	1.11	0.0	0.85	1.49	1.69
DB00393	DB01626	0.4492	0	0.6754	0.68	0.48	0.86	-2.3273	1.652	-3.6134	1.0082	0.109	0.4711	3.0	0.0	0.5451	0.6617	0.54	0.65	0.0	0.36	1.49	1.42
DB00393	DB00325	0.3232	0	0.4583	0.465	0.3	0.57	-2.3273	-2.2973	-3.6134	-1.2926	0.109	0.3421	3.0	0.0	0.5451	0.4508	0.54	0.45	0.0	0.19	1.49	1.2
DB00393	DB08932	0.1764	0	0.5204	0.49	0.31	0.71	-2.3273	-0.3467	-3.6134	-3.9634	0.109	0.1953	3.0	2.0	0.5451	0.5077	0.54	0.51	0.0	0.0	1.49	1.29
DB00653	DB01116	0.5725	0	0.7783	0.815	0.58	0.88	-1.2958	0.8073	-2.0948	0.7369	0.1184	0.6504	2.0	0.0	0.5844	0.7593	0.58	0.74	0.0	0.47	1.48	1.49
DB00653	DB00765	0.3025	0	0.5083	0.52	0.31	0.61	-1.2958	-1.657	-2.0948	-3.135	0.1184	0.3535	2.0	1.0	0.5844	0.4631	0.58	0.46	0.0	0.0	1.48	1.26
DB00653	DB00657	0.9554	0	1.1583	1.19	0.98	1.29	-1.2958	3.8434	-2.0948	3.3878	0.1184	1.0142	2.0	0.0	0.5844	1.123	0.58	1.11	0.0	0.85	1.48	1.69
DB00653	DB01626	0.42	0	0.7133	0.75	0.52	0.78	-1.2958	1.652	-2.0948	1.0082	0.1184	0.4711	2.0	0.0	0.5844	0.6617	0.58	0.65	0.0	0.36	1.48	1.42
DB00653	DB00325	0.3025	0	0.505	0.54	0.33	0.57	-1.2958	-2.2973	-2.0948	-1.2926	0.1184	0.3421	2.0	0.0	0.5844	0.4508	0.58	0.45	0.0	0.19	1.48	1.2
DB00377	DB00765	0.42	0	0.42	0.42	0.42	0.42	-0.4155	-1.657	-0.5052	-3.135	0.3849	0.3535	0.0	1.0	0.4939	0.4631	0.49	0.46	0.18	0.0	1.06	1.26
DB00377	DB00657	0.83	0	0.83	0.83	0.83	0.83	-0.4155	3.8434	-0.5052	3.3878	0.3849	1.0142	0.0	0.0	0.4939	1.123	0.49	1.11	0.18	0.85	1.06	1.69
DB00377	DB01626	0.3417	0	0.415	0.415	0.36	0.47	-0.4155	1.652	-0.5052	1.0082	0.3849	0.4711	0.0	0.0	0.4939	0.6617	0.49	0.65	0.18	0.36	1.06	1.42
DB00377	DB00325	0.46	0	0.46	0.46	0.46	0.46	-0.4155	-2.2973	-0.5052	-1.2926	0.3849	0.3421	0.0	0.0	0.4939	0.4508	0.49	0.45	0.18	0.19	1.06	1.2
DB00377	DB08932	0.22	0	0.405	0.405	0.36	0.45	-0.4155	-0.3467	-0.5052	-3.9634	0.3849	0.1953	0.0	2.0	0.4939	0.5077	0.49	0.51	0.18	0.0	1.06	1.29
DB00728	DB01116	0.4342	0	0.8333	0.76	0.55	1.19	-0.2509	0.8073	1.5777	0.7369	0.0551	0.6504	0.0	0.0	0.7625	0.7593	0.69	0.74	0.18	0.47	1.69	1.49
DB00728	DB00765	0.2917	0	0.6867	0.58	0.42	1.06	-0.2509	-1.657	1.5777	-3.135	0.0551	0.3535	0.0	1.0	0.7625	0.4631	0.69	0.46	0.18	0.0	1.69	1.26
DB00728	DB00657	0.2117	1	0.72	0.83	0.0	1.33	-0.2509	3.8434	1.5777	3.3878	0.0551	1.0142	0.0	0.0	0.7625	1.123	0.69	1.11	0.18	0.85	1.69	1.69
DB00728	DB01626	0.2467	0	0.8267	0.83	0.36	1.29	-0.2509	1.652	1.5777	1.0082	0.0551	0.4711	0.0	0.0	0.7625	0.6617	0.69	0.65	0.18	0.36	1.69	1.42
DB00757	DB00765	0.42	0	0.42	0.42	0.42	0.42	-0.4155	-1.657	-0.5052	-3.135	0.3849	0.3535	0.0	1.0	0.4939	0.4631	0.49	0.46	0.18	0.0	1.06	1.26
DB00757	DB01626	0.3417	0	0.415	0.415	0.36	0.47	-0.4155	1.652	-0.5052	1.0082	0.3849	0.4711	0.0	0.0	0.4939	0.6617	0.49	0.65	0.18	0.36	1.06	1.42
DB00889	DB00765	0.3477	0	0.512	0.54	0.39	0.61	0.6106	-1.657	0.7326	-3.135	0.2221	0.3535	0.0	1.0	0.5866	0.4631	0.57	0.46	0.18	0.0	1.36	1.26
DB00889	DB01626	0.3053	0	0.582	0.61	0.36	0.73	0.6106	1.652	0.7326	1.0082	0.2221	0.4711	0.0	0.0	0.5866	0.6617	0.57	0.65	0.18	0.36	1.36	1.42
DB00969	DB00765	0.3868	0	0.5757	0.55	0.39	0.9	0.699	-1.657	0.4584	-3.135	0.2025	0.3535	0.0	1.0	0.6392	0.4631	0.61	0.46	0.18	0.0	1.69	1.26
DB00969	DB01626	0.3415	0	0.6486	0.665	0.36	0.99	0.699	1.652	0.4584	1.0082	0.2025	0.4711	0.0	0.0	0.6392	0.6617	0.61	0.65	0.18	0.36	1.69	1.42
DB01043	DB01116	0.6088	0	0.7333	0.64	0.55	1.14	-2.1088	0.8073	-3.4109	0.7369	0.1384	0.6504	0.0	0.0	0.4975	0.7593	0.46	0.74	0.05	0.47	1.63	1.49
DB01043	DB01115	0.0392	0	0.4917	0.47	0.04	1.12	-2.1088	-1.434	-3.4109	-2.6744	0.1384	0.0868	0.0	3.0	0.4975	0.5647	0.46	0.56	0.05	0.0	1.63	1.53
DB01043	DB00706	0.1198	0	0.4763	0.42	0.24	0.93	-2.1088	-0.7685	-3.4109	-2.6176	0.1384	0.1555	0.0	2.0	0.4975	0.5197	0.46	0.51	0.05	0.0	1.63	1.39
DB01043	DB00657	0.9188	0	1.0483	0.98	0.83	1.39	-2.1088	3.8434	-3.4109	3.3878	0.1384	1.0142	0.0	0.0	0.4975	1.123	0.46	1.11	0.05	0.85	1.63	1.69
DB01043	DB00433	0.0715	0	0.4931	0.46	0.2	1.0	-2.1088	-0.7925	-3.4109	-2.5036	0.1384	0.1146	0.0	2.0	0.4975	0.5464	0.46	0.54	0.05	0.0	1.63	1.44
DB01043	DB00325	0.2645	0	0.3833	0.335	0.24	0.69	-2.1088	-2.2973	-3.4109	-1.2926	0.1384	0.3421	0.0	0.0	0.4975	0.4508	0.46	0.45	0.05	0.19	1.63	1.2
DB01043	DB00476	0.0971	0	0.5552	0.48	0.18	1.24	-2.1088	-0.9179	-3.4109	-4.1657	0.1384	0.1007	0.0	4.0	0.4975	0.6119	0.46	0.59	0.05	0.0	1.63	1.69
DB01043	DB00524	0.095	0	0.5823	0.535	0.29	1.07	-2.1088	0.5212	-3.4109	-0.0653	0.1384	0.0978	0.0	1.0	0.4975	0.6155	0.46	0.62	0.05	0.0	1.63	1.44
DB01043	DB08932	0.1292	0	0.4542	0.355	0.29	0.93	-2.1088	-0.3467	-3.4109	-3.9634	0.1384	0.1953	0.0	2.0	0.4975	0.5077	0.46	0.51	0.05	0.0	1.63	1.29
DB01199	DB01116	0.4583	0	0.8167	0.71	0.55	1.19	-1.4173	0.8073	0.9592	0.7369	0.0335	0.6504	0.0	0.0	0.6892	0.7593	0.55	0.74	0.18	0.47	1.69	1.49
DB01199	DB00765	0.2633	0	0.6167	0.42	0.37	1.06	-1.4173	-1.657	0.9592	-3.135	0.0335	0.3535	0.0	1.0	0.6892	0.4631	0.55	0.46	0.18	0.0	1.69	1.26
DB01199	DB00657	0.1733	1	0.62	0.83	0.0	1.03	-1.4173	3.8434	0.9592	3.3878	0.0335	1.0142	0.0	0.0	0.6892	1.123	0.55	1.11	0.18	0.85	1.69	1.69
DB01199	DB01626	0.2393	0	0.74	0.57	0.36	1.29	-1.4173	1.652	0.9592	1.0082	0.0335	0.4711	0.0	0.0	0.6892	0.6617	0.55	0.65	0.18	0.36	1.69	1.42
DB00279	DB00657	1.025	0	1.055	1.055	1.04	1.07	-1.4169	3.8434	-1.7016	3.3878	0.2726	1.0142	0.0	0.0	0.422	1.123	0.42	1.11	0.11	0.85	1.16	1.69
DB00279	DB00325	0.325	0	0.355	0.355	0.34	0.37	-1.4169	-2.2973	-1.7016	-1.2926	0.2726	0.3421	0.0	0.0	0.422	0.4508	0.42	0.45	0.11	0.19	1.16	1.2
DB00279	DB08932	0.1575	0	0.36	0.355	0.35	0.38	-1.4169	-0.3467	-1.7016	-3.9634	0.2726	0.1953	0.0	2.0	0.422	0.5077	0.42	0.51	0.11	0.0	1.16	1.29
DB00115	DB00657	1.0726	0	1.225	1.24	1.01	1.35	0.5733	3.8434	0.6365	3.3878	0.2569	1.0142	0.0	0.0	0.6354	1.123	0.63	1.11	0.18	0.85	1.47	1.69
DB00115	DB00325	0.434	0	0.575	0.62	0.44	0.66	0.5733	-2.2973	0.6365	-1.2926	0.2569	0.3421	0.0	0.0	0.6354	0.4508	0.63	0.45	0.18	0.19	1.47	1.2
DB00115	DB08932	0.2133	0	0.5808	0.595	0.34	0.71	0.5733	-0.3467	0.6365	-3.9634	0.2569	0.1953	0.0	2.0	0.6354	0.5077	0.63	0.51	0.18	0.0	1.47	1.29
DB00695	DB01116	0.4825	0	0.7433	0.72	0.64	0.87	0.3257	0.8073	-1.9512	0.7369	0.1447	0.6504	1.0	0.0	0.5625	0.7593	0.55	0.74	0.0	0.47	1.39	1.49
DB00695	DB00765	0.235	0	0.4833	0.43	0.43	0.59	0.3257	-1.657	-1.9512	-3.135	0.1447	0.3535	1.0	1.0	0.5625	0.4631	0.55	0.46	0.0	0.0	1.39	1.26
DB00695	DB00657	0.885	0	1.1267	1.13	1.1	1.15	0.3257	3.8434	-1.9512	3.3878	0.1447	1.0142	1.0	0.0	0.5625	1.123	0.55	1.11	0.0	0.85	1.39	1.69
DB00695	DB01626	0.354	0	0.675	0.66	0.63	0.74	0.3257	1.652	-1.9512	1.0082	0.1447	0.4711	1.0	0.0	0.5625	0.6617	0.55	0.65	0.0	0.36	1.39	1.42
DB00695	DB00325	0.26	0	0.51	0.52	0.45	0.56	0.3257	-2.2973	-1.9512	-1.2926	0.1447	0.3421	1.0	0.0	0.5625	0.4508	0.55	0.45	0.0	0.19	1.39	1.2
DB00695	DB08932	0.021	0	0.4967	0.525	0.31	0.63	0.3257	-0.3467	-1.9512	-3.9634	0.1447	0.1953	1.0	2.0	0.5625	0.5077	0.55	0.51	0.0	0.0	1.39	1.29
DB08329	DB01116	0.5623	0	0.84	0.86	0.71	0.95	0.1595	0.8073	0.0022	0.7369	0.1201	0.6504	0.0	0.0	0.6359	0.7593	0.64	0.74	0.18	0.47	1.44	1.49
DB08329	DB00765	0.2911	0	0.57	0.6	0.43	0.66	0.1595	-1.657	0.0022	-3.135	0.1201	0.3535	0.0	1.0	0.6359	0.4631	0.64	0.46	0.18	0.0	1.44	1.26
DB08329	DB00657	0.9561	0	1.2271	1.19	1.15	1.37	0.1595	3.8434	0.0022	3.3878	0.1201	1.0142	0.0	0.0	0.6359	1.123	0.64	1.11	0.18	0.85	1.44	1.69
DB08329	DB01626	0.3825	0	0.755	0.78	0.57	0.88	0.1595	1.652	0.0022	1.0082	0.1201	0.4711	0.0	0.0	0.6359	0.6617	0.64	0.65	0.18	0.36	1.44	1.42
DB00322	DB00657	1.22	0	1.22	1.22	1.22	1.22	0.2199	3.8434	-0.5324	3.3878	0.4317	1.0142	0.0	0.0	0.5408	1.123	0.53	1.11	0.18	0.85	1.33	1.69
DB00322	DB00325	0.45	0	0.45	0.45	0.45	0.45	0.2199	-2.2973	-0.5324	-1.2926	0.4317	0.3421	0.0	0.0	0.5408	0.4508	0.53	0.45	0.18	0.19	1.33	1.2
DB00322	DB08932	0.3733	0	0.55	0.55	0.53	0.57	0.2199	-0.3467	-0.5324	-3.9634	0.4317	0.1953	0.0	2.0	0.5408	0.5077	0.53	0.51	0.18	0.0	1.33	1.29
DB00432	DB00657	1.22	0	1.22	1.22	1.22	1.22	0.2199	3.8434	-0.5324	3.3878	0.4317	1.0142	0.0	0.0	0.5408	1.123	0.53	1.11	0.18	0.85	1.33	1.69
DB00432	DB00325	0.45	0	0.45	0.45	0.45	0.45	0.2199	-2.2973	-0.5324	-1.2926	0.4317	0.3421	0.0	0.0	0.5408	0.4508	0.53	0.45	0.18	0.19	1.33	1.2
DB00432	DB08932	0.3733	0	0.55	0.55	0.53	0.57	0.2199	-0.3467	-0.5324	-3.9634	0.4317	0.1953	0.0	2.0	0.5408	0.5077	0.53	0.51	0.18	0.0	1.33	1.29
DB00440	DB00657	0.965	0	1.205	1.205	1.19	1.22	0.3271	3.8434	-0.3997	3.3878	0.1508	1.0142	0.0	0.0	0.5243	1.123	0.51	1.11	0.18	0.85	1.33	1.69
DB00440	DB00325	0.215	0	0.45	0.45	0.45	0.45	0.3271	-2.2973	-0.3997	-1.2926	0.1508	0.3421	0.0	0.0	0.5243	0.4508	0.51	0.45	0.18	0.19	1.33	1.2
DB00440	DB08932	0.0825	0	0.5175	0.525	0.45	0.57	0.3271	-0.3467	-0.3997	-3.9634	0.1508	0.1953	0.0	2.0	0.5243	0.5077	0.51	0.51	0.18	0.0	1.33	1.29
DB00441	DB00657	0.8775	0	1.1367	1.11	1.08	1.22	-0.3926	3.8434	-0.8557	3.3878	0.0811	1.0142	0.0	0.0	0.5103	1.123	0.5	1.11	0.13	0.85	1.36	1.69
DB00441	DB00325	0.155	0	0.4167	0.45	0.35	0.45	-0.3926	-2.2973	-0.8557	-1.2926	0.0811	0.3421	0.0	0.0	0.5103	0.4508	0.5	0.45	0.13	0.19	1.36	1.2
DB00441	DB08932	-0.001	0	0.4783	0.51	0.32	0.57	-0.3926	-0.3467	-0.8557	-3.9634	0.0811	0.1953	0.0	2.0	0.5103	0.5077	0.5	0.51	0.13	0.0	1.36	1.29
DB00642	DB00657	0.9968	0	1.18	1.19	1.12	1.22	0.7158	3.8434	0.0224	3.3878	0.1726	1.0142	0.0	0.0	0.5221	1.123	0.51	1.11	0.18	0.85	1.33	1.69
DB00642	DB00325	0.2568	0	0.4425	0.45	0.37	0.5	0.7158	-2.2973	0.0224	-1.2926	0.1726	0.3421	0.0	0.0	0.5221	0.4508	0.51	0.45	0.18	0.19	1.33	1.2
DB00642	DB08932	0.1254	0	0.4988	0.505	0.45	0.57	0.7158	-0.3467	0.0224	-3.9634	0.1726	0.1953	0.0	2.0	0.5221	0.5077	0.51	0.51	0.18	0.0	1.33	1.29
DB01101	DB00657	1.22	0	1.22	1.22	1.22	1.22	0.2199	3.8434	-0.5324	3.3878	0.4317	1.0142	0.0	0.0	0.5408	1.123	0.53	1.11	0.18	0.85	1.33	1.69
DB01101	DB00325	0.45	0	0.45	0.45	0.45	0.45	0.2199	-2.2973	-0.5324	-1.2926	0.4317	0.3421	0.0	0.0	0.5408	0.4508	0.53	0.45	0.18	0.19	1.33	1.2
DB01101	DB08932	0.3733	0	0.55	0.55	0.53	0.57	0.2199	-0.3467	-0.5324	-3.9634	0.4317	0.1953	0.0	2.0	0.5408	0.5077	0.53	0.51	0.18	0.0	1.33	1.29
DB00631	DB01116	0.5533	0	0.61	0.6	0.59	0.64	-0.4908	0.8073	-1.941	0.7369	0.263	0.6504	0.0	0.0	0.4465	0.7593	0.44	0.74	0.12	0.47	1.22	1.49
DB00631	DB00765	0.3108	0	0.3633	0.36	0.36	0.37	-0.4908	-1.657	-1.941	-3.135	0.263	0.3535	0.0	1.0	0.4465	0.4631	0.44	0.46	0.12	0.0	1.22	1.26
DB00631	DB00657	1.0308	0	1.0867	1.08	1.07	1.11	-0.4908	3.8434	-1.941	3.3878	0.263	1.0142	0.0	0.0	0.4465	1.123	0.44	1.11	0.12	0.85	1.22	1.69
DB00631	DB01626	0.4633	0	0.5917	0.595	0.56	0.62	-0.4908	1.652	-1.941	1.0082	0.263	0.4711	0.0	0.0	0.4465	0.6617	0.44	0.65	0.12	0.36	1.22	1.42
DB00631	DB00325	0.3183	0	0.3767	0.36	0.35	0.42	-0.4908	-2.2973	-1.941	-1.2926	0.263	0.3421	0.0	0.0	0.4465	0.4508	0.44	0.45	0.12	0.19	1.22	1.2
DB00631	DB08932	0.1283	0	0.3817	0.39	0.32	0.45	-0.4908	-0.3467	-1.941	-3.9634	0.263	0.1953	0.0	2.0	0.4465	0.5077	0.44	0.51	0.12	0.0	1.22	1.29
DB01005	DB00325	0.35	0	0.35	0.35	0.35	0.35	-1.0464	-2.2973	-1.1598	-1.2926	0.3302	0.3421	0.0	0.0	0.4392	0.4508	0.43	0.45	0.13	0.19	1.22	1.2
DB00686	DB01626	0.4237	0	0.5683	0.57	0.47	0.67	-2.7362	1.652	-2.5478	1.0082	0.207	0.4711	0.0	0.0	0.4218	0.6617	0.41	0.65	0.08	0.36	1.27	1.42
DB00980	DB00765	0.295	0	0.42	0.42	0.42	0.42	0.0692	-1.657	0.3215	-3.135	0.2133	0.3535	0.0	1.0	0.4739	0.4631	0.46	0.46	0.22	0.0	1.2	1.26
DB00980	DB00657	0.8917	0	1.025	1.025	1.0	1.05	0.0692	3.8434	0.3215	3.3878	0.2133	1.0142	0.0	0.0	0.4739	1.123	0.46	1.11	0.22	0.85	1.2	1.69
DB00980	DB01626	0.405	0	0.615	0.62	0.55	0.67	0.0692	1.652	0.3215	1.0082	0.2133	0.4711	0.0	0.0	0.4739	0.6617	0.46	0.65	0.22	0.36	1.2	1.42
DB00980	DB00325	0.2683	0	0.405	0.405	0.37	0.44	0.0692	-2.2973	0.3215	-1.2926	0.2133	0.3421	0.0	0.0	0.4739	0.4508	0.46	0.45	0.22	0.19	1.2	1.2
DB00980	DB08932	0.12	0	0.45	0.435	0.4	0.53	0.0692	-0.3467	0.3215	-3.9634	0.2133	0.1953	0.0	2.0	0.4739	0.5077	0.46	0.51	0.22	0.0	1.2	1.29
DB06594	DB00765	0.324	0	0.44	0.42	0.41	0.51	0.3567	-1.657	-1.55	-3.135	0.2027	0.3535	1.0	1.0	0.5103	0.4631	0.5	0.46	0.0	0.0	1.39	1.26
DB06594	DB01626	0.3369	0	0.583	0.62	0.36	0.74	0.3567	1.652	-1.55	1.0082	0.2027	0.4711	1.0	0.0	0.5103	0.6617	0.5	0.65	0.0	0.36	1.39	1.42
DB00181	DB01180	0.6333	0	0.7	0.7	0.65	0.75	-0.2551	0.1961	-0.5187	-3.4187	0.3575	0.5287	0.0	1.0	0.549	0.639	0.545	0.63	0.24	0.0	1.27	1.4
DB00181	DB01119	0.2529	0	0.585	0.58	0.46	0.7	-0.2551	0.327	-0.5187	-2.4208	0.3575	0.0734	0.0	2.0	0.549	0.5673	0.545	0.56	0.24	0.0	1.27	1.44
DB00181	DB00217	0.2988	0	0.545	0.53	0.53	0.62	-0.2551	-0.1789	-0.5187	-4.0286	0.3575	0.2297	0.0	2.0	0.549	0.559	0.545	0.56	0.24	0.0	1.27	1.33
DB00181	DB00968	0.1875	0	0.57	0.565	0.53	0.62	-0.2551	0.1698	-0.5187	-1.9512	0.3575	0.117	0.0	1.0	0.549	0.5622	0.545	0.55	0.24	0.0	1.27	1.33
DB00181	DB01018	0.19	0	0.515	0.52	0.49	0.53	-0.2551	-0.3673	-0.5187	-2.8882	0.3575	0.1	0.0	1.0	0.549	0.5195	0.545	0.51	0.24	0.0	1.27	1.28
DB00181	DB01116	0.7167	0	0.77	0.77	0.76	0.78	-0.2551	0.8073	-0.5187	0.7369	0.3575	0.6504	0.0	0.0	0.549	0.7593	0.545	0.74	0.24	0.47	1.27	1.49
DB00181	DB00765	0.42	0	0.47	0.47	0.47	0.47	-0.2551	-1.657	-0.5187	-3.135	0.3575	0.3535	0.0	1.0	0.549	0.4631	0.545	0.46	0.24	0.0	1.27	1.26
DB00181	DB00657	1.1367	0	1.195	1.195	1.17	1.22	-0.2551	3.8434	-0.5187	3.3878	0.3575	1.0142	0.0	0.0	0.549	1.123	0.545	1.11	0.24	0.85	1.27	1.69
DB00181	DB01626	0.5875	0	0.71	0.715	0.67	0.74	-0.2551	1.652	-0.5187	1.0082	0.3575	0.4711	0.0	0.0	0.549	0.6617	0.545	0.65	0.24	0.36	1.27	1.42
DB00181	DB00325	0.4267	0	0.49	0.49	0.45	0.53	-0.2551	-2.2973	-0.5187	-1.2926	0.3575	0.3421	0.0	0.0	0.549	0.4508	0.545	0.45	0.24	0.19	1.27	1.2
DB00181	DB08932	0.265	0	0.5175	0.52	0.45	0.58	-0.2551	-0.3467	-0.5187	-3.9634	0.3575	0.1953	0.0	2.0	0.549	0.5077	0.545	0.51	0.24	0.0	1.27	1.29
DB00837	DB00575	0.0576	0	0.5931	0.565	0.5	0.8	0.4046	0.1855	-0.3871	-1.7693	0.1282	0.1828	0.0	1.0	0.5889	0.5567	0.58	0.55	0.27	0.0	1.4	1.43
DB00837	DB01018	-0.07	0	0.555	0.53	0.51	0.65	0.4046	-0.3673	-0.3871	-2.8882	0.1282	0.1	0.0	1.0	0.5889	0.5195	0.58	0.51	0.27	0.0	1.4	1.28
DB00837	DB00765	0.1617	0	0.495	0.495	0.47	0.52	0.4046	-1.657	-0.3871	-3.135	0.1282	0.3535	0.0	1.0	0.5889	0.4631	0.58	0.46	0.27	0.0	1.4	1.26
DB00837	DB01626	0.3425	0	0.7425	0.735	0.71	0.79	0.4046	1.652	-0.3871	1.0082	0.1282	0.4711	0.0	0.0	0.5889	0.6617	0.58	0.65	0.27	0.36	1.4	1.42
DB01080	DB00575	0.0596	0	0.605	0.61	0.5	0.75	0.9842	0.1855	0.9378	-1.7693	0.1335	0.1828	0.0	1.0	0.6133	0.5567	0.6	0.55	0.28	0.0	1.41	1.43
DB01080	DB01018	-0.06	0	0.5725	0.56	0.51	0.66	0.9842	-0.3673	0.9378	-2.8882	0.1335	0.1	0.0	1.0	0.6133	0.5195	0.6	0.51	0.28	0.0	1.41	1.28
DB01080	DB00765	0.1833	0	0.535	0.535	0.47	0.6	0.9842	-1.657	0.9378	-3.135	0.1335	0.3535	0.0	1.0	0.6133	0.4631	0.6	0.46	0.28	0.0	1.41	1.26
DB01080	DB01626	0.3425	0	0.7325	0.735	0.72	0.74	0.9842	1.652	0.9378	1.0082	0.1335	0.4711	0.0	0.0	0.6133	0.6617	0.6	0.65	0.28	0.36	1.41	1.42
DB00228	DB00575	0.0782	0	0.5768	0.575	0.26	1.0	-2.1883	0.1855	-2.3302	-1.7693	0.0749	0.1828	1.0	1.0	0.5545	0.5567	0.54	0.55	0.0	0.0	1.53	1.43
DB00228	DB01018	0.0241	0	0.5507	0.525	0.34	0.85	-2.1883	-0.3673	-2.3302	-2.8882	0.0749	0.1	1.0	1.0	0.5545	0.5195	0.54	0.51	0.0	0.0	1.53	1.28
DB00228	DB00765	0.2573	0	0.4671	0.49	0.28	0.72	-2.1883	-1.657	-2.3302	-3.135	0.0749	0.3535	1.0	1.0	0.5545	0.4631	0.54	0.46	0.0	0.0	1.53	1.26
DB00228	DB01626	0.3463	0	0.6636	0.63	0.41	0.98	-2.1883	1.652	-2.3302	1.0082	0.0749	0.4711	1.0	0.0	0.5545	0.6617	0.54	0.65	0.0	0.36	1.53	1.42
DB00753	DB01180	0.4468	0	0.63	0.59	0.49	0.96	-1.6111	0.1961	-1.5638	-3.4187	0.08	0.5287	0.0	1.0	0.5245	0.639	0.51	0.63	0.04	0.0	1.53	1.4
DB00753	DB01119	-0.0082	0	0.5509	0.54	0.25	0.96	-1.6111	0.327	-1.5638	-2.4208	0.08	0.0734	0.0	2.0	0.5245	0.5673	0.51	0.56	0.04	0.0	1.53	1.44
DB00753	DB00217	0.1335	0	0.5582	0.49	0.38	0.85	-1.6111	-0.1789	-1.5638	-4.0286	0.08	0.2297	0.0	2.0	0.5245	0.559	0.51	0.56	0.04	0.0	1.53	1.33
DB00753	DB00575	0.0762	0	0.5445	0.5	0.26	1.0	-1.6111	0.1855	-1.5638	-1.7693	0.08	0.1828	0.0	1.0	0.5245	0.5567	0.51	0.55	0.04	0.0	1.53	1.43
DB00753	DB00968	0.041	0	0.5657	0.49	0.38	0.85	-1.6111	0.1698	-1.5638	-1.9512	0.08	0.117	0.0	1.0	0.5245	0.5622	0.51	0.55	0.04	0.0	1.53	1.33
DB00753	DB01018	0.0171	0	0.5221	0.49	0.32	0.85	-1.6111	-0.3673	-1.5638	-2.8882	0.08	0.1	0.0	1.0	0.5245	0.5195	0.51	0.51	0.04	0.0	1.53	1.28
